name,display_name,display_name_long,code,city,country,code,region
"  Aeroporto de Plovdiv Krumovo","  Aeroporto de Plovdiv Krumovo (PDV)","  Bulgaria, Bulgaria,   Aeroporto de Plovdiv Krumovo (PDV)","PDV","  Bulgaria","Bulgaria","PDV","Plovdiv"
"Aalborg","Aalborg (AAL)","Aalborg, Dinamarca, Aalborg (AAL)","AAL","Aalborg","Dinamarca","AAL",""
"Abbotsford International Airport","Abbotsford International Airport (YXX)","Abbotsford, Canadá, Abbotsford International Airport (YXX)","YXX","Abbotsford","Canadá","YXX",""
"Aberdeen","Aberdeen (ABZ)","Aberdeen, Escocia, Aberdeen (ABZ)","ABZ","Aberdeen","Escocia","ABZ",""
"Aberdeen Regional","Aberdeen Regional (ABR)","Aberdeen, Estados Unidos, Aberdeen Regional (ABR)","ABR","Aberdeen","Estados Unidos","ABR",""
"Abha","Abha (AHB)","Abha, Arabia Saudita, Abha (AHB)","AHB","Abha","Arabia Saudita","AHB",""
"Port Bouet","Port Bouet (ABJ)","Abiyán, Costa de Marfil, Port Bouet (ABJ)","ABJ","Abiyán","Costa de Marfil","ABJ",""
"Abu Dhabi","Abu Dhabi (AUH)","Abu Dabi, Emiratos Árabes, Abu Dhabi (AUH)","AUH","Abu Dabi","Emiratos Árabes","AUH",""
"Nnamdi Azikiwe","Nnamdi Azikiwe (ABV)","Abuja, Nigeria, Nnamdi Azikiwe (ABV)","ABV","Abuja","Nigeria","ABV",""
"General Juan N. Álvarez","General Juan N. Álvarez (ACA)","Acapulco, México, General Juan N. Álvarez (ACA)","ACA","Acapulco","México","ACA",""
"Kotoka","Kotoka (ACC)","Acra, Ghana, Kotoka (ACC)","ACC","Acra","Ghana","ACC",""
"Aeropuerto Internacional de Adelaide","Aeropuerto Internacional de Adelaide (ADL)","Adelaida, Australia, Aeropuerto Internacional de Adelaide (ADL)","ADL","Adelaida","Australia","ADL","Adelaida"
"Bole","Bole (ADD)","Adís Abeba, Etiopía, Bole (ADD)","ADD","Adís Abeba","Etiopía","ADD",""
"Agadir Al Massira","Agadir Al Massira (AGA)","Agadir, Marruecos, Agadir Al Massira (AGA)","AGA","Agadir","Marruecos","AGA",""
"D'AgenLa Garenne","D'AgenLa Garenne (AGF)","Agén, Francia, D'AgenLa Garenne (AGF)","AGF","Agén","Francia","AGF",""
"Lic. Jesús Terán Peredo","Lic. Jesús Terán Peredo (AGU)","Aguas calientes, México, Lic. Jesús Terán Peredo (AGU)","AGU","Aguas calientes","México","AGU",""
"Sardar Vallabhbhai Patel","Sardar Vallabhbhai Patel (AMD)","Ahmedabad, India, Sardar Vallabhbhai Patel (AMD)","AMD","Ahmedabad","India","AMD",""
"Ajaccio-Napoléon Bonaparte","Ajaccio-Napoléon Bonaparte (AJA)","Ajaccio, Francia, Ajaccio-Napoléon Bonaparte (AJA)","AJA","Ajaccio","Francia","AJA",""
"Akita","Akita (AXT)","Akita, Japón, Akita (AXT)","AXT","Akita","Japón","AXT",""
"Akron/Canton Ohio Regional","Akron/Canton Ohio Regional (CAK)","Akron / Canton, Estados Unidos, Akron/Canton Ohio Regional (CAK)","CAK","Akron / Canton","Estados Unidos","CAK",""
"Al Hoceima","Al Hoceima (AHU)","Al Hoceima, Marruecos, Al Hoceima (AHU)","AHU","Al Hoceima","Marruecos","AHU",""
"Alabany","Alabany (ALB)","Albany, Estados Unidos, Alabany (ALB)","ALB","Albany","Estados Unidos","ALB",""
"Albany Dougherty County","Albany Dougherty County (ABY)","Albany, Estados Unidos, Albany Dougherty County (ABY)","ABY","Albany","Estados Unidos","ABY",""
"Albuquerque  Sunport","Albuquerque  Sunport (ABQ)","Albuquerque, Estados Unidos, Albuquerque  Sunport (ABQ)","ABQ","Albuquerque","Estados Unidos","ABQ",""
"Borg El Arab","Borg El Arab (HBE)","Alejandría, Egipto, Borg El Arab (HBE)","HBE","Alejandría","Egipto","HBE",""
"Ålesund","Ålesund (AES)","Alesund, Noruega, Ålesund (AES)","AES","Alesund","Noruega","AES",""
"Allexandria","Allexandria (AEX)","Alexandria, Estados Unidos, Allexandria (AEX)","AEX","Alexandria","Estados Unidos","AEX",""
"Riviera del Corallo","Riviera del Corallo (AHO)","Alghero, Italia, Riviera del Corallo (AHO)","AHO","Alghero","Italia","AHO",""
"Alicante-Elche","Alicante-Elche (ALC)","Alicante, España, Alicante-Elche (ALC)","ALC","Alicante","España","ALC",""
"Lehigh Valley","Lehigh Valley (ABE)","Allentown, Estados Unidos, Lehigh Valley (ABE)","ABE","Allentown","Estados Unidos","ABE",""
"Almaty","Almaty (ALA)","Almaty, Kazajistán, Almaty (ALA)","ALA","Almaty","Kazajistán","ALA",""
"Almería","Almería (LEI)","Almeria, Espanha, Almería (LEI)","LEI","Almeria","Espanha","LEI",""
"Alpena County Regional","Alpena County Regional (APN)","Alpena, Estados Unidos, Alpena County Regional (APN)","APN","Alpena","Estados Unidos","APN",""
"Altamira","Altamira (ATM)","Altamira, Brasil, Altamira (ATM)","ATM","Altamira","Brasil","ATM","Pará"
"Aeropuerto Civil de Amán - Marka","Aeropuerto Civil de Amán - Marka (ADJ)","Amán, Jordania, Aeropuerto Civil de Amán - Marka (ADJ)","ADJ","Amán","Jordania","ADJ","Amán"
"Queen Alia","Queen Alia (AMM)","Amán, Jordania, Queen Alia (AMM)","AMM","Amán","Jordania","AMM",""
"Amarillo","Amarillo (AMA)","Amarillo, Estados Unidos, Amarillo (AMA)","AMA","Amarillo","Estados Unidos","AMA",""
"Antwerp","Antwerp (ANR)","Amberes, Bélgica, Antwerp (ANR)","ANR","Amberes","Bélgica","ANR",""
"Sri Guru Ram Dass Jee","Sri Guru Ram Dass Jee (ATQ)","Amritsar, India, Sri Guru Ram Dass Jee (ATQ)","ATQ","Amritsar","India","ATQ",""
"Schiphol","Schiphol (AMS)","Amsterdam, Holanda, Schiphol (AMS)","AMS","Amsterdam","Holanda","AMS",""
"Anchorage","Anchorage (ANC)","Anchorage, Estados Unidos, Anchorage (ANC)","ANC","Anchorage","Estados Unidos","ANC",""
"Marcas Raffaello Sanzio","Marcas Raffaello Sanzio (AOI)","Ancona, Italia, Marcas Raffaello Sanzio (AOI)","AOI","Ancona","Italia","AOI",""
"Clark","Clark (CRK)","Ángeles Mabalácat, Filipinas, Clark (CRK)","CRK","Ángeles Mabalácat","Filipinas","CRK",""
"Wallblake","Wallblake (AXA)","Anguilla, Anguilla, Wallblake (AXA)","AXA","Anguilla","Anguilla","AXA",""
"AnkaraEsenbo?a","AnkaraEsenbo?a (ESB)","Ankara, Turquía, AnkaraEsenbo?a (ESB)","ESB","Ankara","Turquía","ESB",""
"Waterloo Regional","Waterloo Regional (NCY)","Annecy, Francia, Waterloo Regional (NCY)","NCY","Annecy","Francia","NCY",""
"Alpena County Regional","Alpena County Regional (TNR)","Antananarivo, Madagascar, Alpena County Regional (TNR)","TNR","Antananarivo","Madagascar","TNR",""
"V.C. Bird Airport Intl","V.C. Bird Airport Intl (ANU)","Antigua, Antigua y Barbuda, V.C. Bird Airport Intl (ANU)","ANU","Antigua","Antigua y Barbuda","ANU",""
"Cerro Moreno Intl","Cerro Moreno Intl (ANF)","Antofagasta, Chile, Cerro Moreno Intl (ANF)","ANF","Antofagasta","Chile","ANF",""
"Aomori","Aomori (AOJ)","Aomori, Japón, Aomori (AOJ)","AOJ","Aomori","Japón","AOJ",""
"Outagamie County Regional","Outagamie County Regional (ATW)","Appleton, Estados Unidos, Outagamie County Regional (ATW)","ATW","Appleton","Estados Unidos","ATW",""
"Santa Maria","Santa Maria (AJU)","Aracajú, Brasil, Santa Maria (AJU)","AJU","Aracajú","Brasil","AJU","Sergipe"
"Aracatuba","Aracatuba (ARU)","Aracatuba, Brasil, Aracatuba (ARU)","ARU","Aracatuba","Brasil","ARU","São Paulo"
"Araguaina","Araguaina (AUX)","Araguaína, Brasil, Araguaina (AUX)","AUX","Araguaína","Brasil","AUX","Tocantins"
"Rodriguez Ballon","Rodriguez Ballon (AQP)","Arequipa, Peru, Rodriguez Ballon (AQP)","AQP","Arequipa","Peru","AQP",""
"Houari Boumediene","Houari Boumediene (ALG)","Argel, Argelia, Houari Boumediene (ALG)","ALG","Argel","Argelia","ALG",""
"Chacalluta","Chacalluta (ARI)","Arica, Chile, Chacalluta (ARI)","ARI","Arica","Chile","ARI",""
"Aripuana","Aripuana (AIR)","Aripuanã, Brasil, Aripuana (AIR)","AIR","Aripuanã","Brasil","AIR","Mato Grosso"
"Oranjestad-Queen Beatrix","Oranjestad-Queen Beatrix (AUA)","Aruba, Aruba, Oranjestad-Queen Beatrix (AUA)","AUA","Aruba","Aruba","AUA",""
"Asheville Regional","Asheville Regional (AVL)","Asheville, Estados Unidos, Asheville Regional (AVL)","AVL","Asheville","Estados Unidos","AVL",""
"Aspen–Pitkin County Airport","Aspen–Pitkin County Airport (ASE)","Aspen, Estados Unidos, Aspen–Pitkin County Airport (ASE)","ASE","Aspen","Estados Unidos","ASE",""
"Astana","Astana (TSE)","Astana, Kazajistán, Astana (TSE)","TSE","Astana","Kazajistán","TSE",""
"Asturias","Asturias (OVD)","Asturias, España, Asturias (OVD)","OVD","Asturias","España","OVD",""
"Silvio Pettirossi","Silvio Pettirossi (ASU)","Asunción, Paraguay, Silvio Pettirossi (ASU)","ASU","Asunción","Paraguay","ASU",""
"Athens-Eleftherios Venizelos","Athens-Eleftherios Venizelos (ATH)","Atenas, Grecia, Athens-Eleftherios Venizelos (ATH)","ATH","Atenas","Grecia","ATH",""
"Atlanta Hartsfield-Jackson","Atlanta Hartsfield-Jackson (ATL)","Atlanta, Estados Unidos, Atlanta Hartsfield-Jackson (ATL)","ATL","Atlanta","Estados Unidos","ATL",""
"Auckland","Auckland (AKL)","Auckland, Nueva Zelanda, Auckland (AKL)","AKL","Auckland","Nueva Zelanda","AKL",""
"Augusta Bush Field","Augusta Bush Field (AGS)","Augusta, Estados Unidos, Augusta Bush Field (AGS)","AGS","Augusta","Estados Unidos","AGS",""
"Aunstin-Bergstrom","Aunstin-Bergstrom (AUS)","Austin, Estados Unidos, Aunstin-Bergstrom (AUS)","AUS","Austin","Estados Unidos","AUS",""
"Baghdad","Baghdad (BGW)","Bagdad, Irak, Baghdad (BGW)","BGW","Bagdad","Irak","BGW",""
"Bagotville Airport","Bagotville Airport (YBG)","Bagotville, Canadá, Bagotville Airport (YBG)","YBG","Bagotville","Canadá","YBG",""
"Comandante Espora","Comandante Espora (BHI)","Bahía Blanca, Argentina, Comandante Espora (BHI)","BHI","Bahía Blanca","Argentina","BHI",""
"Comeau Airport","Comeau Airport (YBC)","Baie, Canadá, Comeau Airport (YBC)","YBC","Baie","Canadá","YBC",""
"Heydar Aliyev","Heydar Aliyev (GYD)","Baku, Azerbaiyán, Heydar Aliyev (GYD)","GYD","Baku","Azerbaiyán","GYD",""
"Asheville Regional","Asheville Regional (DPS)","Bali, Indonesia, Asheville Regional (DPS)","DPS","Bali","Indonesia","DPS",""
"Balmaceda","Balmaceda (BBA)","Balmaceda, Chile, Balmaceda (BBA)","BBA","Balmaceda","Chile","BBA",""
"Baltimore Washington","Baltimore Washington (BWI)","Baltimore, Estados Unidos, Baltimore Washington (BWI)","BWI","Baltimore","Estados Unidos","BWI",""
"Seymour","Seymour (GPS)","Baltra Island, Ecuador, Seymour (GPS)","GPS","Baltra Island","Ecuador","GPS",""
"Senou","Senou (BKO)","Bamako, Mali, Senou (BKO)","BKO","Bamako","Mali","BKO",""
"Kempegowda","Kempegowda (BLR)","Bangalore, India, Kempegowda (BLR)","BLR","Bangalore","India","BLR",""
"Bangkok Suvarnabhumi","Bangkok Suvarnabhumi (BKK)","Bangkok, Tailandia, Bangkok Suvarnabhumi (BKK)","BKK","Bangkok","Tailandia","BKK",""
"Don Muang Intl","Don Muang Intl (DMK)","Bangkok, Thailand, Don Muang Intl (DMK)","DMK","Bangkok","Thailand","DMK",""
"Bangor","Bangor (BGR)","Bangor, Estados Unidos, Bangor (BGR)","BGR","Bangor","Estados Unidos","BGR",""
"Outagamie County Regional","Outagamie County Regional (BGF)","Bangui, República Centroafricana, Outagamie County Regional (BGF)","BGF","Bangui","República Centroafricana","BGF",""
"Banjul","Banjul (BJL)","Banjul, Gambia, Banjul (BJL)","BJL","Banjul","Gambia","BJL",""
"Bridgetown -Grantley Adams","Bridgetown -Grantley Adams (BGI)","Barbados, Barbados, Bridgetown -Grantley Adams (BGI)","BGI","Barbados","Barbados","BGI",""
"Barcelona-El Prat","Barcelona-El Prat (BCN)","Barcelona, España, Barcelona-El Prat (BCN)","BCN","Barcelona","España","BCN",""
"Aeroporto de Barcelos","Aeroporto de Barcelos (BAZ)","Barcelos, Brasil, Aeroporto de Barcelos (BAZ)","BAZ","Barcelos","Brasil","BAZ","Amazonas"
"Bahrain","Bahrain (BAH)","Baréin, Baréin, Bahrain (BAH)","BAH","Baréin","Baréin","BAH",""
"Bari Karol Wojtyla","Bari Karol Wojtyla (BRI)","Bari, Italia, Bari Karol Wojtyla (BRI)","BRI","Bari","Italia","BRI",""
"San Carlos de Bariloche","San Carlos de Bariloche (BRC)","Bariloche, Argentina, San Carlos de Bariloche (BRC)","BRC","Bariloche","Argentina","BRC",""
"Ernesto Cortissoz","Ernesto Cortissoz (BAQ)","Barranquilla, Colombia, Ernesto Cortissoz (BAQ)","BAQ","Barranquilla","Colombia","BAQ",""
"Barreiras","Barreiras (BRA)","Barreiras, Brasil, Barreiras (BRA)","BRA","Barreiras","Brasil","BRA","Bahía"
"EuroBasel Mulhouse-Freiburg","EuroBasel Mulhouse-Freiburg (BSL)","Basileia/Mulhouse, Suiza, EuroBasel Mulhouse-Freiburg (BSL)","BSL","Basileia/Mulhouse","Suiza","BSL",""
"Basra","Basra (BSR)","Basra, Irak, Basra (BSR)","BSR","Basra","Irak","BSR",""
"Bastia-Poretta","Bastia-Poretta (BIA)","Bastia, Francia, Bastia-Poretta (BIA)","BIA","Bastia","Francia","BIA",""
"Bathurst Airport","Bathurst Airport (ZBF)","Bathurst, Canadá, Bathurst Airport (ZBF)","ZBF","Bathurst","Canadá","ZBF",""
